seed,model_name,experiment_id,smishing_f1
27,LinearSVC,manual_only,0.8376068376068376
27,LinearSVC,synthetic_only,0.718562874251497
27,LinearSVC,combined,0.9306122448979591
28,MultinomialNB,manual_only,0.8549618320610687
28,MultinomialNB,synthetic_only,0.38311688311688313
28,MultinomialNB,combined,0.8905660377358491
28,LogisticRegression,manual_only,0.8861788617886179
28,LogisticRegression,synthetic_only,0.8530465949820788
28,LogisticRegression,combined,0.9163346613545816
28,LinearSVC,manual_only,0.8809523809523809
28,LinearSVC,synthetic_only,0.7197640117994101
28,LinearSVC,combined,0.936
29,MultinomialNB,manual_only,0.8327137546468402
29,MultinomialNB,synthetic_only,0.3700159489633174
29,MultinomialNB,combined,0.8712121212121212
29,LogisticRegression,manual_only,0.8695652173913043
29,LogisticRegression,synthetic_only,0.8530465949820788
29,LogisticRegression,combined,0.9047619047619048
29,LinearSVC,manual_only,0.8793774319066148
29,LinearSVC,synthetic_only,0.723404255319149
29,LinearSVC,combined,0.924901185770751
30,MultinomialNB,manual_only,0.8862745098039215
30,MultinomialNB,synthetic_only,0.3656597774244833
30,MultinomialNB,combined,0.9126984126984127
30,LogisticRegression,manual_only,0.8641975308641975
30,LogisticRegression,synthetic_only,0.8796992481203008
30,LogisticRegression,combined,0.9180327868852459
30,LinearSVC,manual_only,0.8724279835390947
30,LinearSVC,synthetic_only,0.7100591715976331
30,LinearSVC,combined,0.9397590361445783
