seed,model_name,experiment_id,true_label,predicted_label,count
6,LogisticRegression,manual_only,smishing,spam,13
6,LogisticRegression,manual_only,smishing,smishing,112
6,LogisticRegression,synthetic_only,ham,ham,0
6,LogisticRegression,synthetic_only,ham,spam,957
6,LogisticRegression,synthetic_only,ham,smishing,10
6,LogisticRegression,synthetic_only,spam,ham,0
6,LogisticRegression,synthetic_only,spam,spam,78
6,LogisticRegression,synthetic_only,spam,smishing,19
6,LogisticRegression,synthetic_only,smishing,ham,0
6,LogisticRegression,synthetic_only,smishing,spam,6
6,LogisticRegression,synthetic_only,smishing,smishing,120
6,LogisticRegression,combined,ham,ham,960
6,LogisticRegression,combined,ham,spam,3
6,LogisticRegression,combined,ham,smishing,4
6,LogisticRegression,combined,spam,ham,5
6,LogisticRegression,combined,spam,spam,86
6,LogisticRegression,combined,spam,smishing,6
6,LogisticRegression,combined,smishing,ham,1
6,LogisticRegression,combined,smishing,spam,7
6,LogisticRegression,combined,smishing,smishing,118
6,LinearSVC,manual_only,ham,ham,963
6,LinearSVC,manual_only,ham,spam,3
6,LinearSVC,manual_only,ham,smishing,1
6,LinearSVC,manual_only,spam,ham,13
6,LinearSVC,manual_only,spam,spam,76
6,LinearSVC,manual_only,spam,smishing,8
6,LinearSVC,manual_only,smishing,ham,1
6,LinearSVC,manual_only,smishing,spam,13
6,LinearSVC,manual_only,smishing,smishing,112
6,LinearSVC,synthetic_only,ham,ham,0
6,LinearSVC,synthetic_only,ham,spam,885
6,LinearSVC,synthetic_only,ham,smishing,82
6,LinearSVC,synthetic_only,spam,ham,0
6,LinearSVC,synthetic_only,spam,spam,81
6,LinearSVC,synthetic_only,spam,smishing,16
6,LinearSVC,synthetic_only,smishing,ham,0
6,LinearSVC,synthetic_only,smishing,spam,5
6,LinearSVC,synthetic_only,smishing,smishing,121
6,LinearSVC,combined,ham,ham,965
6,LinearSVC,combined,ham,spam,1
6,LinearSVC,combined,ham,smishing,1
6,LinearSVC,combined,spam,ham,3
6,LinearSVC,combined,spam,spam,87
6,LinearSVC,combined,spam,smishing,7
6,LinearSVC,combined,smishing,ham,0
6,LinearSVC,combined,smishing,spam,6
6,LinearSVC,combined,smishing,smishing,120
7,MultinomialNB,manual_only,ham,ham,967
7,MultinomialNB,manual_only,ham,spam,0
7,MultinomialNB,manual_only,ham,smishing,0
7,MultinomialNB,manual_only,spam,ham,23
7,MultinomialNB,manual_only,spam,spam,55
7,MultinomialNB,manual_only,spam,smishing,19
7,MultinomialNB,manual_only,smishing,ham,5
7,MultinomialNB,manual_only,smishing,spam,8
7,MultinomialNB,manual_only,smishing,smishing,113
7,MultinomialNB,synthetic_only,ham,ham,0
7,MultinomialNB,synthetic_only,ham,spam,582
7,MultinomialNB,synthetic_only,ham,smishing,385
7,MultinomialNB,synthetic_only,spam,ham,0
7,MultinomialNB,synthetic_only,spam,spam,85
7,MultinomialNB,synthetic_only,spam,smishing,12
7,MultinomialNB,synthetic_only,smishing,ham,0
7,MultinomialNB,synthetic_only,smishing,spam,13
7,MultinomialNB,synthetic_only,smishing,smishing,113
7,MultinomialNB,combined,ham,ham,960
7,MultinomialNB,combined,ham,spam,2
7,MultinomialNB,combined,ham,smishing,5
7,MultinomialNB,combined,spam,ham,3
7,MultinomialNB,combined,spam,spam,84
7,MultinomialNB,combined,spam,smishing,10
7,MultinomialNB,combined,smishing,ham,0
7,MultinomialNB,combined,smishing,spam,12
7,MultinomialNB,combined,smishing,smishing,114
7,LogisticRegression,manual_only,ham,ham,962
7,LogisticRegression,manual_only,ham,spam,4
7,LogisticRegression,manual_only,ham,smishing,1
7,LogisticRegression,manual_only,spam,ham,14
7,LogisticRegression,manual_only,spam,spam,75
7,LogisticRegression,manual_only,spam,smishing,8
7,LogisticRegression,manual_only,smishing,ham,3
7,LogisticRegression,manual_only,smishing,spam,14
7,LogisticRegression,manual_only,smishing,smishing,109
7,LogisticRegression,synthetic_only,ham,ham,0
7,LogisticRegression,synthetic_only,ham,spam,956
7,LogisticRegression,synthetic_only,ham,smishing,11
7,LogisticRegression,synthetic_only,spam,ham,0
7,LogisticRegression,synthetic_only,spam,spam,76
7,LogisticRegression,synthetic_only,spam,smishing,21
7,LogisticRegression,synthetic_only,smishing,ham,0
7,LogisticRegression,synthetic_only,smishing,spam,12
7,LogisticRegression,synthetic_only,smishing,smishing,114
7,LogisticRegression,combined,ham,ham,960
7,LogisticRegression,combined,ham,spam,4
7,LogisticRegression,combined,ham,smishing,3
7,LogisticRegression,combined,spam,ham,3
7,LogisticRegression,combined,spam,spam,89
7,LogisticRegression,combined,spam,smishing,5
7,LogisticRegression,combined,smishing,ham,2
7,LogisticRegression,combined,smishing,spam,13
7,LogisticRegression,combined,smishing,smishing,111
7,LinearSVC,manual_only,ham,ham,963
7,LinearSVC,manual_only,ham,spam,3
7,LinearSVC,manual_only,ham,smishing,1
7,LinearSVC,manual_only,spam,ham,14
7,LinearSVC,manual_only,spam,spam,73
7,LinearSVC,manual_only,spam,smishing,10
7,LinearSVC,manual_only,smishing,ham,1
7,LinearSVC,manual_only,smishing,spam,14
7,LinearSVC,manual_only,smishing,smishing,111
