seed,model_name,experiment_id,duplicate_mode,n_train,n_test,accuracy,macro_precision,macro_recall,macro_f1,ham_precision,ham_recall,ham_f1,spam_precision,spam_recall,spam_f1,smishing_precision,smishing_recall,smishing_f1
5,MultinomialNB,combined,drop_exact_duplicates,11151,1190,0.9663865546218487,0.8997453730648353,0.8828190596226503,0.8877601220019989,0.9948347107438017,0.9958634953464323,0.9953488372093023,0.8875,0.7319587628865979,0.8022598870056498,0.8169014084507042,0.9206349206349206,0.8656716417910447
5,LogisticRegression,manual_only,drop_exact_duplicates,4759,1190,0.9554621848739496,0.8699574842476413,0.8407342199866642,0.8547787170538167,0.9847094801223242,0.9989658738366081,0.9917864476386037,0.7692307692307693,0.7216494845360825,0.7446808510638298,0.8559322033898306,0.8015873015873016,0.8278688524590164
5,LogisticRegression,synthetic_only,drop_exact_duplicates,4759,1190,0.9705882352941176,0.9139256856207383,0.8907260380197192,0.8995812961214714,0.9938271604938271,0.9989658738366081,0.9963898916967509,0.9012345679012346,0.7525773195876289,0.8202247191011236,0.8467153284671532,0.9206349206349206,0.8821292775665399
5,LogisticRegression,combined,drop_exact_duplicates,11151,1190,0.973109243697479,0.9171300635218161,0.9119642919896654,0.9143949186337035,0.9938144329896907,0.9968976215098242,0.9953536396489416,0.8484848484848485,0.865979381443299,0.8571428571428571,0.9090909090909091,0.873015873015873,0.8906882591093117
5,LinearSVC,manual_only,drop_exact_duplicates,4759,1190,0.9512605042016806,0.857958580193483,0.8212512954780995,0.8384296110698225,0.9827235772357723,1.0,0.99128651973347,0.7647058823529411,0.6701030927835051,0.7142857142857143,0.8264462809917356,0.7936507936507936,0.8097165991902834
5,LinearSVC,synthetic_only,drop_exact_duplicates,4759,1190,0.9747899159663865,0.9268848863649816,0.9109998859996195,0.9179308304663998,0.9938208032955715,0.9979317476732161,0.9958720330237358,0.9080459770114943,0.8144329896907216,0.8586956521739131,0.8787878787878788,0.9206349206349206,0.8992248062015504
5,LinearSVC,combined,drop_exact_duplicates,11151,1190,0.9815126050420168,0.9403071991709053,0.93072601320024,0.9349851382171032,0.9979360165118679,1.0,0.9989669421487604,0.9222222222222223,0.8556701030927835,0.8877005347593583,0.9007633587786259,0.9365079365079365,0.9182879377431906
6,MultinomialNB,manual_only,drop_exact_duplicates,4759,1190,0.9596638655462185,0.9155647696265042,0.8499351393678625,0.8744476041151232,0.9767206477732794,0.9979317476732161,0.9872122762148338,0.9117647058823529,0.6391752577319587,0.7515151515151515,0.8582089552238806,0.9126984126984127,0.8846153846153846
6,MultinomialNB,synthetic_only,drop_exact_duplicates,4759,1190,0.9722689075630252,0.9194145621151745,0.9176590650806794,0.9168552153079251,0.995846313603323,0.9917269906928645,0.9937823834196892,0.9195402298850575,0.8247422680412371,0.8695652173913043,0.8428571428571429,0.9365079365079365,0.8872180451127819
6,MultinomialNB,combined,drop_exact_duplicates,11151,1190,0.9773109243697479,0.9347565455060148,0.9290024695945869,0.9312422717131033,0.9948293691830403,0.9948293691830403,0.9948293691830403,0.9222222222222223,0.8556701030927835,0.8877005347593583,0.8872180451127819,0.9365079365079365,0.9111969111969112
6,LogisticRegression,manual_only,drop_exact_duplicates,4759,1190,0.965546218487395,0.9084947014045529,0.8856380447868629,0.8967484396334299,0.984646878198567,0.9948293691830403,0.9897119341563786,0.8152173913043478,0.7731958762886598,0.7936507936507936,0.9256198347107438,0.8888888888888888,0.9068825910931174
6,LogisticRegression,synthetic_only,drop_exact_duplicates,4759,1190,0.9756302521008403,0.9326343664687885,0.9174560530225303,0.9225586270781531,0.9948347107438017,0.9958634953464323,0.9953488372093023,0.9397590361445783,0.8041237113402062,0.8666666666666667,0.8633093525179856,0.9523809523809523,0.9056603773584906
6,LogisticRegression,combined,drop_exact_duplicates,11151,1190,0.980672268907563,0.942570968484012,0.9458398914576485,0.9441691970605214,0.994824016563147,0.9937952430196484,0.9943093636833937,0.8888888888888888,0.9072164948453608,0.8979591836734694,0.944,0.9365079365079365,0.9402390438247012
6,LinearSVC,manual_only,drop_exact_duplicates,4759,1190,0.9672268907563025,0.9124590702948262,0.8894191796248321,0.9006187120222208,0.9856704196519959,0.9958634953464323,0.9907407407407407,0.8260869565217391,0.7835051546391752,0.8042328042328042,0.9256198347107438,0.8888888888888888,0.9068825910931174
6,LinearSVC,synthetic_only,drop_exact_duplicates,4759,1190,0.9840336134453781,0.9557790352694108,0.9464278028708352,0.9509623667687341,0.9948453608247423,0.9979317476732161,0.996386164171399,0.9354838709677419,0.8969072164948454,0.9157894736842105,0.937007874015748,0.9444444444444444,0.9407114624505929
6,LinearSVC,combined,drop_exact_duplicates,11151,1190,0.9865546218487395,0.9581184296599318,0.9520635168829713,0.9547990110126738,0.9979338842975206,0.9989658738366081,0.9984496124031008,0.9456521739130435,0.8969072164948454,0.9206349206349206,0.9307692307692308,0.9603174603174603,0.9453125
